occ_code;occ_title;group;tot_emp;emp_prse;h_mean;a_mean;mean_prse;h_pct10;h_pct25;h_median;h_pct75;h_pct90;a_pct10;a_pct25;a_median;a_pct75;a_pct90;annual;hourly
00-0000;All Occupations;;     135185230;       0.1;         20.32;         42270;           0.1;          8.02;         10.38;         15.57;         24.78;         37.99;         16680;         21590;         32390;         51540;         79020;;
11-0000;Management occupations;major;       6152650;       0.2;         48.23;        100310;           0.2;         20.40;         29.09;         42.15;         60.74;#;         42440;         60500;         87670;        126330;#;;
11-1011;Chief executives;;        301930;       0.7;         77.13;        160440;           0.5;         33.02;         49.08;         76.23;#;#;         68680;        102080;        158560;#;#;;
11-1021;General and operations managers;;       1697690;       0.3;         51.91;        107970;           0.2;         21.83;         30.24;         44.02;         65.87;#;         45410;         62900;         91570;        137020;#;;
11-1031;Legislators;;         64650;       1.2;*;         37980;           1.1;*;*;*;*;*;         14080;         15350;         16920;         51120;         81170;TRUE;
11-2011;Advertising and promotions managers;;         36100;       1.7;         45.54;         94720;           1.0;         19.28;         26.20;         38.57;         57.65;#;         40090;         54500;         80220;        119900;#;;
11-2021;Marketing managers;;        166790;       1.0;         56.81;        118160;           0.5;         26.57;         37.27;         52.20;         71.62;#;         55270;         77520;        108580;        148970;#;;
11-2022;Sales managers;;        333910;       0.5;         53.07;        110390;           0.3;         22.60;         31.42;         46.76;         67.92;#;         47010;         65350;         97260;        141270;#;;
11-2031;Public relations managers;;         51730;       1.2;         48.66;        101220;           0.7;         22.53;         30.72;         43.00;         60.61;#;         46870;         63910;         89430;        126060;#;;
11-3011;Administrative services managers;;        246930;       0.6;         38.22;         79500;           0.3;         17.99;         25.12;         35.35;         47.59;         62.39;         37430;         52240;         73520;         98980;        129770;;
11-3021;Computer and information systems managers;;        276820;       0.8;         57.07;        118710;           0.4;         33.05;         42.42;         53.95;         68.22;#;         68750;         88240;        112210;        141890;#;;
11-3031;Financial managers;;        500590;       0.5;         53.19;        110640;           0.3;         25.89;         34.63;         47.76;         64.94;#;         53860;         72030;         99330;        135070;#;;
11-3041;Compensation and benefits managers;;         38810;       0.9;         44.91;         93410;           0.4;         23.73;         31.22;         41.59;         54.56;         70.70;         49350;         64930;         86500;        113480;        147050;;
11-3042;Training and development managers;;         29350;       1.5;         45.11;         93830;           0.6;         23.21;         31.14;         42.16;         55.56;         71.66;         48280;         64770;         87700;        115570;        149050;;
11-3049;Human resources managers, all other;;         60980;       0.8;         49.96;        103920;           0.4;         27.30;         35.33;         46.22;         60.60;         78.47;         56770;         73480;         96130;        126050;        163220;;
11-3051;Industrial production managers;;        154030;       0.6;         43.85;         91200;           0.3;         24.20;         30.96;         40.04;         52.26;         67.56;         50330;         64390;         83290;        108710;        140530;;
11-3061;Purchasing managers;;         67150;       0.8;         45.34;         94300;           0.4;         24.75;         32.39;         42.86;         55.69;         68.54;         51490;         67370;         89160;        115830;        142550;;
11-3071;Transportation, storage, and distribution managers;;         96300;       0.8;         40.64;         84520;           0.3;         21.79;         28.77;         37.98;         48.72;         62.51;         45320;         59830;         79000;        101330;        130020;;
11-9011;Farm, ranch, and other agricultural managers;;          3410;       6.3;         30.00;         62400;           2.3;         15.07;         20.17;         27.03;         36.87;         49.77;         31350;         41950;         56230;         76700;        103510;;
11-9012;Farmers and ranchers;;           490;      26.5;         23.62;         49140;          13.6;          9.58;         12.88;         16.13;         36.65;         46.46;         19920;         26800;         33550;         76230;         96630;;
11-9021;Construction managers;;        220550;       1.0;         43.16;         89770;           0.5;         22.60;         29.16;         38.39;         51.51;         70.16;         47000;         60650;         79860;        107140;        145920;;
11-9031;Education administrators, preschool and child care center/program;;         49630;       1.3;         22.29;         46370;           0.9;         12.46;         15.05;         19.20;         26.29;         37.09;         25910;         31290;         39940;         54680;         77150;;
11-9032;Education administrators, elementary and secondary school;;        219100;       0.6;*;         86060;           0.6;*;*;*;*;*;         55580;         68360;         83880;        102830;        124250;TRUE;
11-9033;Education administrators, postsecondary;;         97410;       1.2;         44.67;         92920;           0.8;         21.66;         28.34;         38.79;         54.74;         77.17;         45050;         58940;         80670;        113860;        160500;;
11-9039;Education administrators, all other;;         28090;       1.7;         37.13;         77220;           0.9;         18.70;         25.42;         34.44;         46.36;         59.91;         38900;         52880;         71630;         96440;        124600;;
11-9041;Engineering managers;;        182300;       1.1;         57.97;        120580;           0.4;         35.30;         44.17;         55.42;         68.14;#;         73420;         91870;        115270;        141730;#;;
11-9051;Food service managers;;        196080;       0.9;         24.19;         50320;           0.4;         14.16;         17.63;         22.27;         28.64;         36.99;         29450;         36670;         46320;         59580;         76940;;
11-9061;Funeral directors;;         25680;       2.4;         28.27;         58810;           1.3;         14.38;         18.74;         25.10;         33.50;         44.68;         29910;         38980;         52210;         69680;         92940;;
11-9071;Gaming managers;;          3790;       3.7;         35.33;         73480;           1.1;         19.48;         25.23;         32.83;         40.96;         53.62;         40520;         52470;         68290;         85190;        111520;;
11-9081;Lodging managers;;         32460;       1.7;         25.26;         52550;           0.8;         13.54;         16.81;         22.02;         30.23;         40.52;         28160;         34970;         45800;         62880;         84270;;
11-9111;Medical and health services managers;;        258130;       0.6;         42.67;         88750;           0.3;         23.22;         29.89;         38.58;         50.06;         66.25;         48300;         62170;         80240;        104120;        137800;;
11-9121;Natural sciences managers;;         43060;       1.7;         59.20;        123140;           1.2;         31.71;         41.30;         54.23;         72.79;#;         65960;         85910;        112800;        151400;#;;
11-9131;Postmasters and mail superintendents;;         26410;       0.0;         28.44;         59150;           0.1;         18.64;         23.76;         28.52;         34.10;         38.35;         38770;         49430;         59310;         70930;         79770;;
11-9141;Property, real estate, and community association managers;;        159700;       1.2;         27.05;         56250;           0.9;         10.51;         15.26;         22.18;         33.06;         49.16;         21860;         31730;         46130;         68770;        102250;;
11-9151;Social and community service managers;;        117150;       0.8;         29.12;         60570;           0.5;         16.01;         20.24;         26.92;         35.32;         46.29;         33310;         42110;         55980;         73470;         96290;;
11-9199;Managers, all other;;        365460;       1.6;         46.10;         95890;           0.5;         22.45;         30.98;         43.38;         57.82;         73.80;         46700;         64440;         90230;        120260;        153500;;
