occ_code;occ_title;group;tot_emp;emp_prse;h_mean;a_mean;mean_prse;h_pct10;h_pct25;h_median;h_pct75;h_pct90;a_pct10;a_pct25;a_median;a_pct75;a_pct90;annual;hourly
00-0000;All Occupations;total;     130647610;       0.1;         20.90;         43460;           0.1;          8.24;         10.55;         15.95;         25.44;         39.02;         17140;         21940;         33190;         52920;         81160;;
11-0000;Management occupations;major;       6116380;       0.2;         49.47;        102900;           0.2;         20.86;         29.76;         42.95;         61.67;#;         43400;         61910;         89330;        128270;#;;
11-1011;Chief executives;;        297640;       0.5;         80.43;        167280;           0.5;         34.13;         50.26;         77.27;#;#;         71000;        104550;        160720;#;#;;
11-1021;General and operations managers;;       1689680;       0.3;         53.15;        110550;           0.2;         22.01;         30.65;         44.55;         66.81;#;         45780;         63750;         92650;        138960;#;;
11-1031;Legislators;;         65750;       1.4;*;         37530;           1.1;*;*;*;*;*;         14830;         15830;         18810;         50540;         81150;TRUE;
11-2011;Advertising and promotions managers;;         35760;       1.9;         46.96;         97670;           1.3;         19.71;         26.92;         39.60;         58.64;#;         40990;         56000;         82370;        121970;#;;
11-2021;Marketing managers;;        169330;       0.9;         57.73;        120070;           0.5;         26.79;         37.67;         52.90;         71.82;#;         55720;         78340;        110030;        149390;#;;
11-2022;Sales managers;;        328980;       0.6;         53.64;        111570;           0.3;         22.91;         31.35;         46.53;         68.00;#;         47660;         65210;         96790;        141430;#;;
11-2031;Public relations managers;;         53270;       1.2;         48.97;        101850;           0.8;         22.98;         31.17;         43.12;         60.20;#;         47800;         64820;         89690;        125220;#;;
11-3011;Administrative services managers;;        243580;       0.6;         39.20;         81530;           0.3;         18.60;         25.88;         36.31;         48.35;         63.33;         38690;         53820;         75520;        100560;        131730;;
11-3021;Computer and information systems managers;;        287210;       0.8;         58.00;        120640;           0.4;         33.61;         42.90;         54.67;         69.03;#;         69900;         89240;        113720;        143590;#;;
11-3031;Financial managers;;        495180;       0.6;         54.68;        113730;           0.3;         26.33;         35.35;         48.65;         66.35;#;         54760;         73530;        101190;        138010;#;;
11-3041;Compensation and benefits managers;;         35630;       0.9;         45.78;         95230;           0.4;         24.32;         31.97;         42.33;         55.37;         71.34;         50590;         66510;         88050;        115180;        148390;;
11-3042;Training and development managers;;         29320;       1.2;         45.37;         94360;           0.5;         23.83;         31.69;         42.35;         55.30;         70.59;         49560;         65910;         88090;        115020;        146820;;
11-3049;Human resources managers, all other;;         62990;       0.8;         50.73;        105510;           0.4;         28.12;         35.81;         46.42;         61.19;         78.98;         58490;         74480;         96550;        127270;        164270;;
11-3051;Industrial production managers;;        147250;       0.7;         45.03;         93650;           0.4;         24.66;         31.58;         40.90;         53.75;         70.21;         51290;         65680;         85080;        111790;        146030;;
11-3061;Purchasing managers;;         65080;       0.8;         46.59;         96910;           0.4;         25.44;         33.22;         43.96;         57.09;         70.17;         52910;         69100;         91440;        118740;        145960;;
11-3071;Transportation, storage, and distribution managers;;         92380;       0.8;         41.09;         85470;           0.3;         21.98;         28.83;         38.22;         49.55;         63.33;         45720;         59970;         79490;        103070;        131740;;
11-9011;Farm, ranch, and other agricultural managers;;          3250;       5.9;         31.13;         64760;           2.1;         15.23;         20.76;         28.58;         37.87;         49.62;         31680;         43180;         59450;         78770;        103210;;
11-9012;Farmers and ranchers;;           520;      19.9;         20.53;         42710;          11.5;          9.09;         12.57;         15.55;         22.58;         44.09;         18900;         26150;         32350;         46960;         91710;;
11-9021;Construction managers;;        204760;       1.0;         44.85;         93290;           0.5;         23.71;         30.14;         39.58;         53.45;         72.90;         49320;         62700;         82330;        111170;        151630;;
11-9031;Education administrators, preschool and child care center/program;;         51140;       1.9;         23.16;         48170;           1.1;         12.62;         15.39;         19.74;         27.98;         38.71;         26250;         32010;         41060;         58190;         80530;;
11-9032;Education administrators, elementary and secondary school;;        219280;       0.5;*;         87390;           0.6;*;*;*;*;*;         56690;         69560;         85220;        104050;        124820;TRUE;
11-9033;Education administrators, postsecondary;;        105900;       1.5;         45.84;         95340;           1.0;         22.26;         29.26;         39.81;         55.76;         77.97;         46310;         60870;         82800;        115980;        162170;;
11-9039;Education administrators, all other;;         28710;       1.6;         38.53;         80140;           0.9;         19.69;         26.23;         35.54;         47.57;         60.83;         40950;         54560;         73910;         98940;        126530;;
11-9041;Engineering managers;;        178110;       1.1;         59.04;        122810;           0.4;         36.23;         44.73;         56.25;         69.48;#;         75350;         93040;        117000;        144520;#;;
11-9051;Food service managers;;        190250;       1.1;         24.71;         51400;           0.5;         14.33;         17.98;         22.70;         29.36;         37.94;         29810;         37410;         47210;         61070;         78910;;
11-9061;Funeral directors;;         25820;       2.4;         29.04;         60390;           1.5;         14.76;         19.32;         26.14;         34.49;         45.22;         30700;         40180;         54370;         71740;         94050;;
11-9071;Gaming managers;;          3390;       3.1;         35.59;         74030;           1.2;         19.54;         24.81;         32.40;         41.70;         55.49;         40640;         51590;         67380;         86730;        115420;;
11-9081;Lodging managers;;         31660;       1.9;         25.72;         53500;           0.8;         13.68;         16.98;         22.26;         30.71;         41.15;         28450;         35310;         46300;         63890;         85600;;
11-9111;Medical and health services managers;;        271710;       0.6;         43.74;         90970;           0.4;         23.92;         30.62;         39.35;         50.95;         67.45;         49750;         63700;         81850;        105980;        140300;;
11-9121;Natural sciences managers;;         44180;       1.7;         61.06;        127000;           1.4;         33.00;         42.53;         55.08;         73.39;#;         68640;         88460;        114560;        152650;#;;
11-9131;Postmasters and mail superintendents;;         24890;       0.0;         28.65;         59600;           0.1;         17.39;         23.82;         28.26;         34.76;         39.03;         36180;         49540;         58770;         72300;         81190;;
11-9141;Property, real estate, and community association managers;;        150850;       1.2;         28.20;         58660;           0.8;         11.48;         16.30;         23.30;         34.35;         50.19;         23890;         33900;         48460;         71450;        104400;;
11-9151;Social and community service managers;;        113760;       0.8;         29.44;         61240;           0.4;         16.08;         20.46;         27.21;         35.83;         46.31;         33440;         42560;         56600;         74520;         96330;;
11-9199;Managers, all other;;        369170;       1.0;         47.64;         99100;           0.6;         23.35;         31.78;         44.52;         59.22;         74.41;         48560;         66110;         92600;        123190;        154780;;
13-0000;Business and financial operations occupations;major;       6063670;       0.3;         31.68;         65900;           0.2;         16.10;         20.93;         28.32;         38.24;         50.34;         33490;         43530;         58910;         79550;        104700;;
13-1011;Agents and business managers of artists, performers, and athletes;;         11700;       4.0;         42.04;         87430;           6.0;         12.43;         18.50;         29.76;         50.90;#;         25860;         38480;         61890;        105870;#;;
13-1021;Purchasing agents and buyers, farm products;;         11690;       3.6;         30.02;         62450;           4.3;         14.54;         19.29;         25.56;         35.40;         48.79;         30250;         40130;         53150;         73630;        101480;;
13-1022;Wholesale and retail buyers, except farm products;;        116900;       1.4;         26.68;         55480;           0.7;         13.88;         17.69;         23.39;         31.67;         42.71;         28870;         36800;         48650;         65870;         88830;;
13-1023;Purchasing agents, except wholesale, retail, and farm products;;        281910;       0.5;         28.15;         58550;           0.2;         16.42;         20.36;         26.35;         34.68;         43.19;         34160;         42350;         54810;         72130;         89830;;
13-1031;Claims adjusters, examiners, and investigators;;        273930;       1.3;         28.26;         58780;           0.4;         16.74;         20.82;         27.46;         34.68;         41.25;         34820;         43300;         57130;         72130;         85810;;
13-1032;Insurance appraisers, auto damage;;         10960;       4.5;         27.01;         56180;           1.4;         18.07;         22.14;         26.63;         31.28;         37.20;         37580;         46040;         55390;         65060;         77380;;
13-1041;Compliance officers, except agriculture, construction, health and safety, and transportation;;        247900;       0.5;         26.49;         55100;           0.2;         14.98;         17.83;         23.92;         32.54;         42.12;         31170;         37080;         49750;         67680;         87610;;
13-1051;Cost estimators;;        197330;       0.8;         29.42;         61190;           0.3;         16.14;         20.86;         27.55;         36.06;         45.76;         33560;         43390;         57300;         75000;         95190;;
13-1061;Emergency management specialists;;         13060;       2.1;         27.36;         56900;           2.0;         13.64;         18.73;         25.28;         34.01;         43.43;         28370;         38950;         52590;         70750;         90340;;
13-1071;Employment, recruitment, and placement specialists;;        198190;       1.4;         26.21;         54530;           0.8;         13.64;         17.03;         22.21;         30.95;         41.86;         28370;         35430;         46200;         64380;         87060;;
13-1072;Compensation, benefits, and job analysis specialists;;        111890;       1.0;         28.13;         58520;           0.4;         16.81;         20.84;         26.74;         33.72;         41.60;         34960;         43340;         55620;         70130;         86540;;
13-1073;Training and development specialists;;        205020;       0.7;         26.59;         55310;           0.3;         14.48;         18.89;         25.06;         32.84;         41.28;         30120;         39280;         52120;         68300;         85860;;
13-1079;Human resources, training, and labor relations specialists, all other;;        219240;       0.8;         28.40;         59070;           0.5;         13.16;         20.11;         27.14;         35.83;         45.42;         27360;         41820;         56440;         74520;         94470;;
13-1081;Logisticians;;        100420;       1.1;         33.85;         70400;           0.5;         19.48;         25.18;         32.67;         41.19;         50.24;         40520;         52370;         67960;         85670;        104500;;
13-1111;Management analysts;;        552770;       0.8;         40.70;         84650;           0.5;         20.46;         26.84;         36.18;         48.75;         64.82;         42550;         55820;         75250;        101410;        134820;;
13-1121;Meeting and convention planners;;         51530;       2.0;         23.11;         48060;           0.6;         13.25;         16.72;         21.53;         27.95;         36.14;         27550;         34770;         44780;         58140;         75160;;
13-1199;Business operations specialists, all other;;       1036450;       0.6;         31.71;         65960;           0.4;         15.77;         21.27;         29.14;         39.05;         50.65;         32800;         44240;         60610;         81220;        105350;;
13-2011;Accountants and auditors;;       1106980;       0.5;         32.42;         67430;           0.3;         18.12;         22.47;         29.01;         38.21;         50.22;         37690;         46740;         60340;         79470;        104450;;
13-2021;Appraisers and assessors of real estate;;         64770;       2.0;         25.73;         53520;           1.3;         12.36;         16.60;         23.00;         32.15;         43.22;         25700;         34520;         47840;         66860;         89890;;
13-2031;Budget analysts;;         60970;       1.2;         33.29;         69240;           0.3;         20.95;         25.70;         32.05;         39.96;         48.50;         43570;         53460;         66660;         83110;        100880;;
13-2041;Credit analysts;;         67950;       3.8;         32.32;         67230;           1.8;         16.55;         20.65;         27.63;         38.84;         54.19;         34420;         42950;         57470;         80790;        112710;;
13-2051;Financial analysts;;        235240;       1.7;         40.98;         85240;           0.8;         21.19;         26.75;         35.42;         47.56;         67.00;         44080;         55640;         73670;         98920;        139350;;
13-2052;Personal financial advisors;;        149460;       1.8;         45.28;         94180;           1.5;         16.25;         21.52;         32.79;         56.05;#;         33790;         44760;         68200;        116580;#;;
13-2053;Insurance underwriters;;         98430;       2.1;         30.45;         63330;           0.7;         17.13;         21.33;         27.80;         37.34;         47.80;         35630;         44380;         57820;         77660;         99420;;
13-2061;Financial examiners;;         26050;       2.8;         38.01;         79070;           1.4;         19.56;         24.96;         34.49;         48.02;         62.32;         40680;         51920;         71750;         99870;        129620;;
13-2071;Loan counselors;;         30360;       4.7;         19.68;         40930;           0.9;         12.80;         14.89;         17.94;         22.38;         29.43;         26630;         30970;         37320;         46550;         61210;;
13-2072;Loan officers;;        298200;       1.0;         30.39;         63210;           0.5;         14.92;         19.23;         26.38;         36.83;         50.64;         31030;         39990;         54880;         76610;        105330;;
13-2081;Tax examiners, collectors, and revenue agents;;         69500;       0.4;         25.87;         53800;           0.3;         13.94;         17.90;         23.34;         32.37;         43.72;         28990;         37240;         48550;         67330;         90940;;
13-2082;Tax preparers;;         61130;       4.4;         17.34;         36060;           2.0;          8.50;         10.47;         14.45;         21.82;         30.90;         17680;         21780;         30060;         45390;         64270;;
13-2099;Financial specialists, all other;;        153720;       1.4;         31.16;         64810;           0.7;         16.87;         21.18;         28.05;         37.63;         49.31;         35100;         44050;         58350;         78280;        102560;;
15-0000;Computer and mathematical science occupations;major;       3303690;       0.4;         36.68;         76290;           0.3;         18.55;         25.43;         35.05;         46.09;         57.53;         38590;         52890;         72900;         95870;        119660;;
15-1011;Computer and information scientists, research;;         26130;       2.8;         50.66;        105370;           1.1;         29.56;         37.80;         48.83;         61.35;         74.72;         61480;         78620;        101570;        127600;        155420;;
15-1021;Computer programmers;;        367880;       1.2;         35.91;         74690;           0.7;         19.54;         25.78;         34.10;         43.75;         54.51;         40640;         53620;         70940;         91000;        113380;;
15-1031;Computer software engineers, applications;;        495500;       1.1;         43.35;         90170;           0.4;         26.36;         33.29;         42.06;         51.78;         63.50;         54840;         69230;         87480;        107710;        132080;;
15-1032;Computer software engineers, systems software;;        385200;       1.5;         46.45;         96620;           0.6;         28.65;         35.83;         44.94;         56.01;         67.28;         59600;         74520;         93470;        116510;        139930;;
15-1041;Computer support specialists;;        540560;       0.8;         22.77;         47360;           0.3;         13.08;         16.50;         21.30;         27.54;         34.95;         27200;         34320;         44300;         57290;         72690;;
15-1051;Computer systems analysts;;        512720;       1.0;         38.67;         80430;           0.4;         22.66;         28.88;         37.06;         46.73;         57.29;         47130;         60070;         77080;         97200;        119170;;
15-1061;Database administrators;;        108080;       1.0;         35.72;         74290;           0.7;         19.61;         25.71;         34.40;         44.83;         54.90;         40780;         53470;         71550;         93260;        114200;;
15-1071;Network and computer systems administrators;;        338890;       0.9;         34.10;         70930;           0.3;         20.16;         25.45;         32.55;         41.26;         50.95;         41940;         52940;         67710;         85830;        105970;;
15-1081;Network systems and data communications analysts;;        226080;       1.1;         36.81;         76560;           0.4;         20.62;         26.88;         35.22;         45.35;         55.83;         42880;         55900;         73250;         94320;        116120;;
15-1099;Computer specialists, all other;;        195890;       1.6;         37.50;         78010;           0.4;         20.04;         28.11;         37.02;         46.58;         55.31;         41680;         58460;         77010;         96890;        115050;;
15-2011;Actuaries;;         17940;       4.0;         46.85;         97450;           1.0;         24.98;         31.27;         41.93;         58.11;         76.08;         51950;         65050;         87210;        120870;        158240;;
15-2021;Mathematicians;;          2770;      10.1;         45.16;         93920;           1.8;         24.50;         32.15;         44.99;         55.61;         68.49;         50960;         66870;         93580;        115670;        142460;;
15-2031;Operations research analysts;;         60960;       2.1;         36.23;         75370;           0.8;         19.24;         24.99;         33.69;         45.33;         57.28;         40030;         51970;         70070;         94290;        119140;;
15-2041;Statisticians;;         21370;       2.0;         36.16;         75220;           1.9;         18.48;         24.32;         35.01;         46.03;         56.35;         38430;         50590;         72820;         95740;        117210;;
15-2091;Mathematical technicians;;          1090;       6.1;         21.27;         44230;           2.3;         13.22;         15.48;         19.83;         25.36;         31.45;         27510;         32200;         41240;         52740;         65410;;
15-2099;Mathematical scientists, all other;;          2610;      21.4;         29.74;         61850;           7.3;         15.54;         18.32;         23.18;         33.64;         53.89;         32330;         38110;         48210;         69970;        112090;;
17-0000;Architecture and engineering occupations;major;       2412730;       0.5;         35.38;         73590;           0.2;         17.97;         24.34;         33.07;         44.34;         56.05;         37380;         50630;         68790;         92220;        116590;;
17-1011;Architects, except landscape and naval;;        101630;       1.7;         37.93;         78880;           0.7;         20.34;         26.40;         34.95;         45.01;         58.96;         42320;         54910;         72700;         93620;        122640;;
17-1012;Landscape architects;;         18940;       4.5;         31.69;         65910;           1.6;         17.66;         22.48;         29.12;         38.43;         48.33;         36740;         46760;         60560;         79940;        100530;;
17-1021;Cartographers and photogrammetrists;;         11750;       3.7;         28.53;         59340;           4.3;         15.64;         19.74;         25.50;         34.15;         43.47;         32520;         41050;         53050;         71030;         90410;;
17-1022;Surveyors;;         50360;       1.8;         27.61;         57420;           0.6;         14.49;         18.94;         26.05;         34.68;         42.85;         30130;         39400;         54180;         72140;         89120;;
17-2011;Aerospace engineers;;         70570;       5.6;         46.29;         96270;           1.6;         28.61;         35.89;         45.57;         55.83;         66.22;         59500;         74650;         94780;        116140;        137730;;
17-2021;Agricultural engineers;;          2620;       5.5;         35.89;         74640;           2.5;         20.66;         26.52;         33.44;         42.25;         55.89;         42980;         55170;         69560;         87890;        116240;;
17-2031;Biomedical engineers;;         14760;       5.1;         39.69;         82550;           1.1;         23.79;         29.32;         37.92;         48.50;         59.27;         49480;         60980;         78860;        100890;        123270;;
17-2041;Chemical engineers;;         29000;       3.1;         44.07;         91670;           0.8;         26.97;         33.82;         42.44;         52.15;         63.93;         56090;         70350;         88280;        108470;        132980;;
17-2051;Civil engineers;;        259320;       1.2;         39.03;         81180;           0.4;         23.86;         29.16;         36.82;         46.54;         56.88;         49620;         60650;         76590;         96800;        118320;;
17-2061;Computer hardware engineers;;         65410;       3.0;         48.75;        101410;           0.9;         29.18;         37.16;         47.51;         59.67;         71.59;         60690;         77280;         98820;        124120;        148910;;
17-2071;Electrical engineers;;        151660;       1.5;         41.47;         86250;           0.4;         25.73;         31.60;         39.96;         50.03;         60.97;         53510;         65720;         83110;        104060;        126810;;
17-2072;Electronics engineers, except computer;;        135990;       1.7;         44.01;         91540;           0.4;         27.34;         33.88;         42.94;         53.07;         64.11;         56860;         70480;         89310;        110390;        133350;;
17-2081;Environmental engineers;;         50610;       2.0;         38.82;         80750;           1.0;         22.92;         28.76;         37.04;         46.48;         55.65;         47660;         59820;         77040;         96680;        115750;;
17-2111;Health and safety engineers, except mining safety engineers and inspectors;;         24070;       2.0;         36.45;         75810;           0.5;         21.18;         27.62;         35.62;         45.07;         53.19;         44050;         57440;         74080;         93750;        110630;;
17-2112;Industrial engineers;;        209300;       1.3;         37.06;         77090;           0.3;         23.48;         29.02;         36.11;         44.27;         52.51;         48840;         60350;         75110;         92080;        109220;;
17-2121;Marine engineers and naval architects;;          5270;       9.9;         38.10;         79240;           4.9;         19.75;         26.92;         35.74;         47.02;         58.64;         41070;         55990;         74330;         97800;        121960;;
17-2131;Materials engineers;;         22510;       2.5;         41.18;         85660;           0.8;         25.32;         31.23;         39.99;         50.08;         60.41;         52670;         64950;         83190;        104170;        125660;;
17-2141;Mechanical engineers;;        232660;       1.6;         38.74;         80580;           0.5;         23.91;         29.43;         37.03;         46.51;         56.52;         49730;         61220;         77020;         96740;        117550;;
17-2151;Mining and geological engineers, including mining safety engineers;;          6310;       5.3;         39.46;         82080;           1.7;         23.27;         29.29;         38.19;         47.21;         57.36;         48400;         60920;         79440;         98190;        119300;;
17-2161;Nuclear engineers;;         16710;       6.2;         48.25;        100350;           1.6;         32.01;         39.16;         46.59;         55.28;         67.38;         66590;         81460;         96910;        114990;        140140;;
17-2171;Petroleum engineers;;         25540;       5.2;         57.67;        119960;           2.1;         28.17;         38.37;         52.36;         72.26;#;         58600;         79810;        108910;        150310;#;;
17-2199;Engineers, all other;;        159680;       2.3;         43.56;         90600;           0.5;         23.71;         32.22;         43.06;         54.33;         65.23;         49320;         67030;         89560;        113010;        135680;;
17-3011;Architectural and civil drafters;;        105320;       1.6;         22.94;         47710;           0.6;         13.97;         17.39;         21.92;         27.61;         33.47;         29050;         36170;         45600;         57420;         69610;;
17-3012;Electrical and electronics drafters;;         30590;       2.5;         26.34;         54800;           0.7;         15.93;         19.81;         25.04;         31.87;         38.92;         33140;         41190;         52080;         66280;         80960;;
17-3013;Mechanical drafters;;         71890;       1.8;         23.94;         49790;           0.5;         14.73;         18.19;         22.98;         28.72;         35.12;         30640;         37840;         47790;         59740;         73050;;
17-3019;Drafters, all other;;         18290;       3.3;         23.18;         48210;           1.0;         13.72;         17.17;         21.79;         28.15;         35.05;         28540;         35720;         45320;         58540;         72910;;
17-3021;Aerospace engineering and operations technicians;;          7940;       4.4;         28.76;         59820;           2.8;         17.12;         22.25;         27.39;         33.55;         41.96;         35610;         46280;         56960;         69780;         87280;;
17-3022;Civil engineering technicians;;         82690;       1.4;         22.80;         47420;           0.4;         13.77;         17.10;         22.10;         27.83;         33.37;         28640;         35570;         45970;         57890;         69410;;
17-3023;Electrical and electronic engineering technicians;;        154050;       1.5;         26.64;         55410;           0.4;         16.05;         20.49;         26.36;         31.47;         38.30;         33380;         42610;         54820;         65470;         79660;;
17-3024;Electro-mechanical technicians;;         15640;       4.0;         23.98;         49880;           1.2;         14.64;         18.29;         23.08;         28.94;         35.21;         30450;         38040;         48010;         60200;         73240;;
17-3025;Environmental engineering technicians;;         20630;       3.5;         21.99;         45730;           1.0;         13.06;         16.10;         20.36;         26.23;         34.06;         27160;         33490;         42350;         54560;         70840;;
17-3026;Industrial engineering technicians;;         65460;       1.9;         23.57;         49030;           0.5;         14.82;         18.00;         22.48;         28.41;         34.36;         30820;         37450;         46760;         59090;         71470;;
17-3027;Mechanical engineering technicians;;         43580;       2.3;         24.38;         50700;           0.6;         15.21;         18.58;         23.54;         29.32;         35.31;         31630;         38650;         48970;         60990;         73450;;
17-3029;Engineering technicians, except drafters, all other;;         69070;       1.5;         28.04;         58330;           0.7;         14.86;         20.47;         27.66;         34.87;         41.59;         30910;         42580;         57530;         72520;         86510;;
17-3031;Surveying and mapping technicians;;         62940;       1.7;         18.98;         39470;           0.5;         10.90;         13.81;         17.88;         23.42;         28.74;         22680;         28730;         37190;         48700;         59780;;
19-0000;Life, physical, and social science occupations;major;       1308380;       0.7;         31.57;         65660;           0.4;         14.86;         19.94;         28.03;         39.44;         53.01;         30920;         41470;         58300;         82040;        110250;;
19-1011;Animal scientists;;          2190;       6.4;         31.02;         64510;           2.4;         15.25;         19.68;         27.38;         39.68;         51.77;         31730;         40930;         56960;         82540;        107680;;
19-1012;Food scientists and technologists;;         10790;       5.8;         30.95;         64370;           1.4;         16.60;         21.25;         28.67;         38.43;         49.60;         34530;         44190;         59630;         79920;        103160;;
19-1013;Soil and plant scientists;;         11830;       4.0;         31.34;         65180;           1.6;         16.79;         21.67;         28.45;         37.79;         51.76;         34930;         45070;         59180;         78590;        107670;;
19-1021;Biochemists and biophysicists;;         22860;       8.3;         42.57;         88550;           1.2;         21.63;         28.82;         39.61;         51.93;         66.74;         44990;         59950;         82390;        108010;        138820;;
19-1022;Microbiologists;;         16260;       3.7;         34.61;         71980;           1.7;         18.82;         23.92;         32.01;         42.84;         54.40;         39150;         49750;         66580;         89110;        113150;;
