occ_code;occ_title;group;tot_emp;emp_prse;h_mean;a_mean;mean_prse;h_pct10;h_pct25;h_median;h_pct75;h_pct90;a_pct10;a_pct25;a_median;a_pct75;a_pct90;annual;hourly
00-0000;All Occupations;;     132604980;       0.1;         18.84;         39190;           0.1;          7.45;          9.75;         14.61;         22.99;         35.08;         15500;         20270;         30400;         47820;         72960;;
11-0000;Management occupations;major;       5892900;       0.2;         44.20;         91930;           0.1;         18.93;         26.84;         38.93;         55.88;#;         39380;         55820;         80980;        116240;#;;
11-1011;Chief executives;;        299520;       0.5;         69.52;        144600;           0.2;         29.79;         45.61;#;#;#;         61970;         94870;#;#;#;;
11-1021;General and operations managers;;       1663280;       0.3;         47.73;         99280;           0.1;         20.29;         27.99;         40.97;         61.82;#;         42210;         58230;         85230;        128580;#;;
11-1031;Legislators;;         62020;       2.5;*;         32730;           1.6;*;*;*;*;*;         12190;         13530;         15660;         38690;         75270;TRUE;
11-2011;Advertising and promotions managers;;         38130;       1.6;         40.93;         85140;           0.8;         17.42;         23.49;         35.12;         52.42;#;         36230;         48870;         73060;        109030;#;;
11-2021;Marketing managers;;        159950;       1.1;         51.74;        107610;           0.4;         24.60;         33.69;         47.46;         65.73;#;         51160;         70080;         98720;        136710;#;;
11-2022;Sales managers;;        307960;       0.6;         49.39;        102730;           0.3;         21.70;         29.87;         44.02;         63.90;#;         45140;         62140;         91560;        132910;#;;
11-2031;Public relations managers;;         44010;       1.3;         44.35;         92250;           0.6;         20.66;         28.17;         39.51;         55.30;#;         42980;         58590;         82180;        115030;#;;
11-3011;Administrative services managers;;        232410;       0.6;         35.02;         72840;           0.3;         16.81;         23.18;         32.54;         43.44;         56.54;         34970;         48200;         67690;         90350;        117610;;
11-3021;Computer and information systems managers;;        251210;       0.9;         51.56;        107250;           0.3;         29.23;         38.10;         48.84;         62.14;#;         60800;         79240;        101580;        129250;#;;
11-3031;Financial managers;;        468270;       0.6;         48.77;        101450;           0.3;         24.18;         32.06;         43.74;         60.18;#;         50290;         66690;         90970;        125180;#;;
11-3041;Compensation and benefits managers;;         46640;       0.9;         39.43;         82010;           0.4;         20.55;         26.62;         35.94;         47.93;         63.86;         42750;         55370;         74750;         99690;        132820;;
11-3042;Training and development managers;;         27450;       1.5;         41.67;         86670;           0.8;         20.93;         28.25;         38.58;         51.66;         67.86;         43530;         58770;         80250;        107450;        141140;;
11-3049;Human resources managers, all other;;         55280;       1.0;         45.63;         94910;           0.4;         24.91;         32.55;         42.55;         55.22;#;         51810;         67710;         88510;        114860;#;;
11-3051;Industrial production managers;;        153410;       0.7;         40.37;         83970;           0.3;         22.71;         28.68;         37.34;         48.47;         62.83;         47230;         59650;         77670;        100810;        130680;;
11-3061;Purchasing managers;;         66490;       0.9;         41.35;         86020;           0.3;         22.38;         29.28;         39.22;         50.86;         63.48;         46540;         60890;         81570;        105780;        132040;;
11-3071;Transportation, storage, and distribution managers;;         89010;       0.8;         37.77;         78560;           0.3;         20.76;         26.88;         35.14;         45.11;         57.92;         43180;         55910;         73080;         93820;        120470;;
11-9011;Farm, ranch, and other agricultural managers;;          3300;       6.9;         28.15;         58550;           2.7;         14.31;         19.16;         25.03;         34.54;         48.10;         29760;         39840;         52070;         71840;        100050;;
11-9012;Farmers and ranchers;;           300;      23.2;         20.92;         43520;           6.4;         10.94;         14.21;         17.85;         22.89;         36.55;         22750;         29550;         37130;         47600;         76030;;
11-9021;Construction managers;;        207630;       1.1;         39.79;         82760;           0.5;         20.78;         26.97;         35.43;         47.29;         65.28;         43210;         56090;         73700;         98350;        135780;;
11-9031;Education administrators, preschool and child care center/program;;         46890;       3.8;         20.88;         43430;           1.1;         11.77;         14.28;         18.15;         24.66;         33.83;         24470;         29690;         37740;         51300;         70360;;
11-9032;Education administrators, elementary and secondary school;;        215630;       0.7;*;         79200;           0.6;*;*;*;*;*;         51320;         63010;         77740;         94420;        112990;TRUE;
11-9033;Education administrators, postsecondary;;        103330;       1.6;         39.82;         82820;           0.7;         19.77;         25.87;         35.57;         49.02;         66.30;         41120;         53800;         73990;        101950;        137900;;
11-9039;Education administrators, all other;;         26570;       1.9;         34.38;         71520;           0.9;         17.59;         23.81;         32.03;         42.59;         55.05;         36580;         49520;         66620;         88590;        114500;;
11-9041;Engineering managers;;        183960;       1.1;         52.90;        110030;           0.4;         32.44;         40.43;         50.69;         62.58;#;         67470;         84090;        105430;        130170;#;;
11-9051;Food service managers;;        189050;       0.9;         22.49;         46780;           0.4;         13.18;         16.45;         20.68;         26.49;         34.04;         27400;         34210;         43020;         55100;         70810;;
11-9061;Funeral directors;;         22810;       2.2;         27.53;         57250;           1.3;         13.66;         17.88;         23.86;         31.37;         44.14;         28410;         37200;         49620;         65260;         91800;;
11-9071;Gaming managers;;          3330;       4.2;         32.38;         67340;           1.1;         16.87;         22.37;         30.20;         39.31;         50.03;         35100;         46520;         62820;         81770;        104070;;
11-9081;Lodging managers;;         31300;       1.7;         23.83;         49560;           1.0;         12.08;         15.32;         20.35;         28.07;         39.67;         25120;         31870;         42320;         58380;         82510;;
11-9111;Medical and health services managers;;        232920;       1.0;         39.02;         81160;           0.3;         21.66;         27.52;         35.26;         45.57;         61.46;         45050;         57240;         73340;         94780;        127830;;
11-9121;Natural sciences managers;;         38660;       1.8;         51.91;        107970;           0.8;         28.99;         37.17;         48.11;         62.93;#;         60300;         77320;        100080;        130900;#;;
