OCC_CODE;OCC_TITLE;GROUP;TOT_EMP;EMP_PRSE;H_MEAN;A_MEAN;MEAN_PRSE;H_PCT10;H_PCT25;H_MEDIAN;H_PCT75;H_PCT90;A_PCT10;A_PCT25;A_MEDIAN;A_PCT75;A_PCT90;ANNUAL;HOURLY
00-0000;All Occupations;total;128.278.550;0,1;21,74;45.230;0,1;8,65;10,76;16,57;26,67;41,00;18.000;22.380;34.460;55.470;85.280;;
11-0000;Management Occupations;major;6.183.820;0,2;51,64;107.410;0,1;21,98;31,30;44,65;64,24;#;45.720;65.100;92.880;133.610;#;;
11-1011;Chief Executives;;267.370;0,5;84,88;176.550;0,4;36,47;52,56;80,25;#;#;75.860;109.320;166.910;#;#;;
11-1021;General and Operations Managers;;1.805.030;0,3;55,04;114.490;0,2;22,87;31,72;45,74;69,25;#;47.580;65.980;95.150;144.050;#;;
11-1031;Legislators;;62.180;1,3;*;38.860;0,8;*;*;*;*;*;16.280;17.660;19.630;56.200;85.920;TRUE;
11-2011;Advertising and Promotions Managers;;30.710;2,3;49,69;103.350;1,4;20,55;28,74;42,14;61,94;89,73;42.750;59.780;87.650;128.840;186.630;;
11-2021;Marketing Managers;;168.410;0,8;60,67;126.190;0,4;28,96;40,05;55,78;74,54;#;60.230;83.290;116.010;155.050;#;;
11-2022;Sales Managers;;328.230;0,6;56,18;116.860;0,3;24,88;33,59;48,87;70,35;#;51.760;69.860;101.640;146.330;#;;
11-2031;Public Relations and Fundraising Managers;;53.200;1,3;50,81;105.690;0,8;24,21;32,72;44,86;62,88;84,81;50.360;68.060;93.310;130.780;176.400;;
11-3011;Administrative Services Managers;;249.600;0,6;41,69;86.720;0,3;20,73;28,14;38,24;50,97;66,91;43.120;58.540;79.540;106.030;139.170;;
11-3021;Computer and Information Systems Managers;;300.830;0,9;60,41;125.660;0,4;35,13;44,46;56,74;71,39;89,01;73.080;92.470;118.010;148.500;185.150;;
11-3031;Financial Managers;;477.690;0,5;57,91;120.450;0,3;27,94;37,65;51,52;70,26;#;58.120;78.300;107.160;146.150;#;;
11-3051;Industrial Production Managers;;151.850;0,6;46,33;96.370;0,4;25,54;32,72;42,40;55,38;71,48;53.130;68.060;88.190;115.200;148.670;;
11-3061;Purchasing Managers;;66.990;0,8;49,57;103.110;0,4;26,77;35,06;46,70;60,69;73,61;55.680;72.910;97.130;126.240;153.110;;
11-3071;Transportation, Storage, and Distribution Managers;;92.150;0,9;42,23;87.830;0,4;22,98;29,93;38,87;51,04;65,32;47.800;62.260;80.860;106.170;135.860;;
11-3111;Compensation and Benefits Managers;;24.580;1,1;48,62;101.130;0,5;25,66;33,44;44,37;58,80;77,04;53.370;69.550;92.290;122.310;160.240;;
11-3121;Human Resources Managers;;81.750;0,7;52,21;108.600;0,4;28,88;36,80;47,66;63,04;81,40;60.070;76.540;99.130;131.130;169.310;;
11-3131;Training and Development Managers;;27.150;1,3;47,73;99.280;0,5;25,24;33,47;44,10;57,78;73,63;52.510;69.610;91.740;120.190;153.160;;
11-9013;Farmers, Ranchers, and Other Agricultural Managers;;3.340;5,2;33,66;70.010;1,9;15,38;21,32;31,09;41,54;53,92;31.980;44.350;64.660;86.400;112.150;;
11-9021;Construction Managers;;195.000;1,0;45,14;93.900;0,6;24,35;31,15;40,50;53,85;71,67;50.650;64.780;84.240;112.020;149.070;;
11-9031;Education Administrators, Preschool and Childcare Center/Program;;49.320;1,7;24,66;51.290;1,3;13,33;16,25;21,07;29,39;41,13;27.720;33.810;43.830;61.120;85.550;;
11-9032;Education Administrators, Elementary and Secondary School;;222.810;0,5;*;90.200;1,1;*;*;*;*;*;58.600;70.840;87.470;107.900;128.660;TRUE;
11-9033;Education Administrators, Postsecondary;;113.620;1,6;46,72;97.170;1,0;22,88;29,82;40,52;56,35;79,04;47.580;62.020;84.280;117.210;164.390;;
11-9039;Education Administrators, All Other;;28.090;1,7;39,46;82.070;0,9;19,73;26,53;36,89;49,07;61,56;41.040;55.180;76.730;102.070;128.040;;
11-9041;Architectural and Engineering Managers;;184.530;1,4;62,19;129.350;0,5;37,94;46,96;58,75;72,28;89,43;78.920;97.680;122.190;150.350;186.020;;
11-9051;Food Service Managers;;183.940;1,3;25,30;52.620;0,5;14,70;18,31;23,13;30,04;39,14;30.570;38.090;48.110;62.490;81.410;;
11-9071;Gaming Managers;;3.570;4,0;35,95;74.780;1,2;20,57;25,37;32,32;42,06;56,17;42.790;52.780;67.230;87.490;116.840;;
11-9081;Lodging Managers;;29.870;2,2;26,49;55.100;0,8;14,20;17,59;22,81;31,61;42,95;29.540;36.590;47.450;65.750;89.330;;
11-9111;Medical and Health Services Managers;;287.560;0,8;46,17;96.030;0,3;25,35;32,43;41,54;53,97;71,10;52.730;67.450;86.400;112.260;147.890;;
11-9121;Natural Sciences Managers;;47.510;1,9;61,65;128.230;1,5;30,86;42,33;55,18;74,33;#;64.180;88.040;114.770;154.620;#;;
11-9131;Postmasters and Mail Superintendents;;24.410;0,0;29,85;62.080;0,1;16,81;24,91;30,25;36,90;40,81;34.960;51.810;62.920;76.750;84.890;;
11-9141;Property, Real Estate, and Community Association Managers;;152.380;1,2;30,36;63.150;0,8;12,41;17,68;25,24;36,63;54,15;25.810;36.770;52.510;76.180;112.630;;
11-9151;Social and Community Service Managers;;115.550;0,7;30,43;63.290;0,4;16,83;21,31;28,20;36,77;46,98;35.010;44.320;58.660;76.490;97.720;;
11-9161;Emergency Management Directors;;11.050;2,1;30,22;62.850;2,1;14,09;19,81;27,53;38,34;48,86;29.300;41.200;57.270;79.740;101.630;;
11-9199;Managers, All Other;;343.560;0,8;50,44;104.910;0,6;24,70;34,18;47,85;62,31;77,02;51.380;71.100;99.540;129.600;160.200;;
13-0000;Business and Financial Operations Occupations;major;6.178.070;0,3;33,05;68.740;0,2;16,71;21,99;29,67;40,12;52,90;34.770;45.750;61.700;83.450;110.040;;
13-1011;Agents and Business Managers of Artists, Performers, and Athletes;;11.950;3,6;44,35;92.250;4,6;13,24;20,07;31,15;55,95;#;27.540;41.740;64.790;116.370;#;;
13-1021;Buyers and Purchasing Agents, Farm Products;;10.180;3,3;29,08;60.500;1,1;15,53;20,46;26,86;35,15;45,04;32.310;42.570;55.860;73.120;93.690;;
13-1022;Wholesale and Retail Buyers, Except Farm Products;;105.610;1,5;27,31;56.810;0,7;14,21;18,50;24,27;32,72;43,63;29.570;38.490;50.490;68.060;90.740;;
